Structure,LogLik,AIC,BIC
"7,9,8,5,4,6,1,3,2",6204.36,-12292.71,-11967.48
"2,1,3,4,5,6,8,7,9",6220.44,-12330.87,-12022.47
"8,9,7,5,4,6,1,2,3",6242.01,-12364.01,-12027.57
"3,1,2,9,7,8,5,6,4",6253.36,-12392.72,-12073.1
"5,6,4,7,9,8,1,2,3",6233.64,-12353.27,-12033.65
"1,2,3,5,4,6,8,9,7",6238.83,-12367.67,-12059.26
"4,6,5,3,1,2,7,8,9",6242.74,-12369.47,-12044.25
"3,1,2,9,8,7,6,4,5",6269.27,-12426.54,-12112.53
"6,5,4,8,7,9,3,1,2",6215.12,-12316.25,-11996.63
"6,4,5,3,1,2,7,9,8",6244.4,-12372.8,-12047.57
"5,4,6,8,7,9,3,1,2",6221.4,-12334.79,-12031.99
"7,8,9,3,2,1,5,6,4",6205.34,-12294.68,-11969.46
"9,7,8,3,1,2,4,6,5",6199.2,-12284.41,-11964.79
"2,1,3,8,9,7,6,4,5",6230.24,-12348.49,-12034.47
"3,2,1,7,9,8,5,6,4",6227.46,-12338.91,-12013.68
"4,5,6,2,3,1,7,8,9",6208.89,-12303.77,-11984.15
"7,8,9,5,6,4,3,2,1",6247.59,-12383.17,-12069.16
"4,6,5,2,1,3,9,7,8",6205.1,-12296.2,-11976.58
"1,3,2,7,9,8,6,4,5",6229.77,-12347.53,-12033.52
"8,7,9,2,3,1,6,5,4",6209.78,-12303.56,-11978.33
